date,timestamp,strategy,entry,sl,target,opening_high,opening_low,candle_type,symbol,expiry,strike,option_type,itm_rank,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10
2026-08-28,2026-08-28 04:25:00+00:00,LEVEL_TO_LEVEL,40.95,42.2,51.05,51.05,46.2,upper_rejection,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-28 04:30:00+00:00,42.2,SL,23.450000000000003,-4.700000000000003,1.25,5.0,9,55,True
2026-08-31,2026-08-31 03:55:00+00:00,LEVEL_TO_LEVEL,59.75,50.5,58.65,58.65,54.5,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-31 04:00:00+00:00,58.65,TARGET,5.099999999999994,-18.950000000000003,-1.1000000000000014,5.0,9,25,True
2026-09-01,2026-09-01 04:05:00+00:00,LEVEL_TO_LEVEL,50.35,45.35,53.2,53.2,49.35,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-01 04:15:00+00:00,53.2,TARGET,75.94999999999999,-14.399999999999999,2.8500000000000014,10.0,9,35,True
2026-09-02,2026-09-02 04:35:00+00:00,LEVEL_TO_LEVEL,108.3,102.65,117.65,117.65,106.65,lower_rejection,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-02 04:40:00+00:00,102.65,SL,12.299999999999997,-59.55,-5.6499999999999915,5.0,10,5,False
2026-09-03,2026-09-03 04:20:00+00:00,LEVEL_TO_LEVEL,50.4,48.2,64.85,64.85,52.2,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-03 05:25:00+00:00,64.85,TARGET,37.6,-0.5,14.449999999999996,65.0,9,50,True
2026-09-04,2026-09-04 03:55:00+00:00,LEVEL_TO_LEVEL,67.0,57.6,71.8,71.8,61.6,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-04 04:20:00+00:00,57.6,SL,8.900000000000006,-19.85,-9.399999999999999,25.0,9,25,True
2026-09-08,2026-09-08 04:45:00+00:00,LEVEL_TO_LEVEL,106.1,99.4,118.6,118.6,103.4,normal,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-08 05:05:00+00:00,118.6,TARGET,128.55,-0.14999999999999147,12.5,20.0,10,15,False
2026-09-09,2026-09-09 05:00:00+00:00,LEVEL_TO_LEVEL,193.6,173.1,223.8,223.8,177.1,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-09 06:30:00+00:00,223.8,TARGET,86.35,-29.549999999999983,30.200000000000017,90.0,10,30,False
2026-09-11,2026-09-11 04:55:00+00:00,LEVEL_TO_LEVEL,422.9,410.15,460.35,460.35,414.15,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-09-11 05:00:00+00:00,410.15,SL,0.9500000000000455,-262.4,-12.75,5.0,10,25,False
2026-09-10,2026-09-10 04:10:00+00:00,LEVEL_TO_LEVEL,414.0,426.25,454.55,454.55,430.25,strong_green,NSE-NIFTY-22Sep26-23150-CE,2026-09-22,23150.0,CE,3,2026-09-10 04:25:00+00:00,426.25,SL,33.69999999999999,-153.60000000000002,12.25,15.0,9,40,True
2026-09-15,2026-09-15 04:25:00+00:00,LEVEL_TO_LEVEL,332.45,387.55,416.1,416.1,391.55,lower_rejection,NSE-NIFTY-22Sep26-23150-CE,2026-09-22,23150.0,CE,3,2026-09-15 04:30:00+00:00,387.55,SL,6.0,-158.64999999999998,55.10000000000002,5.0,9,55,True
2026-09-16,2026-09-16 04:15:00+00:00,LEVEL_TO_LEVEL,194.85,193.8,256.85,256.85,197.8,strong_green,NSE-NIFTY-22Sep26-23150-CE,2026-09-22,23150.0,CE,3,2026-09-16 07:35:00+00:00,256.85,TARGET,68.85,-22.400000000000006,62.00000000000003,200.0,9,45,True
2026-09-18,2026-09-18 04:05:00+00:00,LEVEL_TO_LEVEL,223.55,219.25,251.6,251.6,223.25,strong_green,NSE-NIFTY-22Sep26-23150-CE,2026-09-22,23150.0,CE,3,2026-09-18 04:10:00+00:00,219.25,SL,43.19999999999999,-26.600000000000023,-4.300000000000011,5.0,9,35,True
2026-09-22,2026-09-22 04:05:00+00:00,LEVEL_TO_LEVEL,300.9,282.15,330.9,330.9,286.15,normal,NSE-NIFTY-22Sep26-23150-CE,2026-09-22,23150.0,CE,3,2026-09-22 05:00:00+00:00,282.15,SL,18.100000000000023,-164.24999999999997,-18.75,55.0,9,35,True
2026-09-08,2026-09-08 03:55:00+00:00,LEVEL_TO_LEVEL,591.15,631.0,635.0,635.0,635.0,strong_green,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-08 04:10:00+00:00,631.0,SL,13.5,-168.14999999999998,39.85000000000002,15.0,9,25,True
2026-09-09,2026-09-09 04:30:00+00:00,LEVEL_TO_LEVEL,435.5,443.65,455.35,455.35,447.65,lower_rejection,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-09 04:35:00+00:00,443.65,SL,70.69999999999999,-70.94999999999999,8.149999999999977,5.0,10,0,False
2026-09-10,2026-09-10 03:55:00+00:00,LEVEL_TO_LEVEL,393.65,377.1,416.4,416.4,381.1,strong_green,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-10 04:00:00+00:00,377.1,SL,18.350000000000023,-168.64999999999998,-16.549999999999955,5.0,9,25,True
2026-09-15,2026-09-15 04:00:00+00:00,LEVEL_TO_LEVEL,337.6,345.75,381.0,381.0,349.75,lower_rejection,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-15 04:05:00+00:00,345.75,SL,4.2999999999999545,-190.20000000000002,8.149999999999977,5.0,9,30,True
2026-09-16,2026-09-16 04:15:00+00:00,LEVEL_TO_LEVEL,166.6,167.05,223.35,223.35,171.05,strong_green,NSE-NIFTY-22Sep26-23200-CE,2026-09-22,23200.0,CE,2,2026-09-16 04:20:00+00:00,167.05,SL,63.30000000000001,-23.150000000000006,0.45000000000001705,5.0,9,45,True
