date,timestamp,strategy,entry,opening_high,opening_low,swing_high,candle_type,symbol,expiry,strike,option_type,itm_rank,breakout_timestamp,confirmation_timestamp,target,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10,entry_before_10,entry_after_10,weekday,volatility_10,premium_change,lower_wick,upper_wick,range,rejection_characteristic,breakout_characteristic,false_breakout,time_to_target_minutes
2026-08-27,2026-08-27 05:10:00+00:00,EKALAYAVA,15.3,13.75,11.4,15.4,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-27 05:10:00+00:00,2026-08-27 05:10:00+00:00,13.75,2026-08-27 05:15:00+00:00,13.75,TARGET,7.800000000000001,-1.4000000000000004,-1.5500000000000007,5.0,10,40,False,False,True,3,0.027132923271869017,0.75,0.09999999999999964,0.25,1.200000000000001,strong_green,True,False,5.0
2026-08-31,2026-08-31 04:10:00+00:00,EKALAYAVA,23.85,22.35,13.05,23.35,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-31 04:10:00+00:00,2026-08-31 04:10:00+00:00,22.35,2026-08-31 04:15:00+00:00,22.35,TARGET,1.8999999999999986,-9.350000000000001,-1.5,5.0,9,40,True,True,False,0,0.18841850500311075,1.75,0.5500000000000007,0.3999999999999986,2.75,strong_green,True,False,5.0
2026-09-01,2026-09-01 08:30:00+00:00,EKALAYAVA,22.85,19.95,15.45,13.9,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-09-01 08:30:00+00:00,2026-09-01 08:30:00+00:00,19.95,2026-09-01 08:35:00+00:00,19.95,TARGET,4.899999999999999,-3.700000000000003,-2.900000000000002,5.0,14,0,False,False,True,1,0.10827340233550585,4.800000000000001,0.14999999999999858,0.04999999999999716,4.899999999999999,strong_green,True,False,5.0
2026-09-07,2026-09-07 04:40:00+00:00,EKALAYAVA,10.45,8.55,6.1,9.7,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-09-07 04:40:00+00:00,2026-09-07 04:40:00+00:00,8.55,2026-09-07 04:45:00+00:00,8.55,TARGET,5.5,-2.999999999999999,-1.8999999999999986,5.0,10,10,False,False,True,0,0.07864509543285,1.4499999999999993,0.0,0.40000000000000036,1.9000000000000004,strong_green,True,False,5.0
2026-09-08,2026-09-08 06:25:00+00:00,EKALAYAVA,15.15,14.55,8.35,14.6,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-09-08 06:25:00+00:00,2026-09-08 06:25:00+00:00,14.55,2026-09-08 06:30:00+00:00,14.55,TARGET,31.800000000000004,-15.1,-0.5999999999999996,5.0,11,55,False,False,True,1,0.10788047003028148,2.6500000000000004,0.1999999999999993,0.29999999999999893,3.1999999999999993,strong_green,True,False,5.0
2026-09-09,2026-09-09 04:10:00+00:00,EKALAYAVA,685.15,666.45,666.45,676.5,unknown,NSE-NIFTY-15Sep26-22900-CE,2026-09-15,22900.0,CE,3,2026-09-09 04:10:00+00:00,2026-09-09 04:10:00+00:00,666.45,2026-09-09 04:15:00+00:00,666.45,TARGET,42.25,-93.5,-18.699999999999932,5.0,9,40,True,True,False,2,0.05587258701564348,12.699999999999932,0.0,0.0,0.0,unknown,True,False,5.0
2026-09-11,2026-09-11 04:30:00+00:00,EKALAYAVA,389.9,386.45,368.55,390.9,normal,NSE-NIFTY-15Sep26-22900-CE,2026-09-15,22900.0,CE,3,2026-09-11 04:30:00+00:00,2026-09-11 04:30:00+00:00,386.45,2026-09-11 04:35:00+00:00,386.45,TARGET,195.89999999999998,-2.8999999999999773,-3.4499999999999886,5.0,10,0,False,False,True,4,0.10193000790388741,9.0,3.8000000000000114,4.600000000000023,15.5,normal,True,False,5.0
2026-09-11,2026-09-11 04:30:00+00:00,EKALAYAVA,257.25,252.45,240.0,259.7,normal,NSE-NIFTY-15Sep26-23050-CE,2026-09-15,23050.0,CE,2,2026-09-11 04:30:00+00:00,2026-09-11 04:30:00+00:00,252.45,2026-09-11 04:35:00+00:00,252.45,TARGET,186.2,-3.1999999999999886,-4.800000000000011,5.0,10,0,False,False,True,4,0.12753917294235298,7.849999999999994,2.6999999999999886,2.75,13.0,normal,True,False,5.0
2026-09-01,2026-09-01 04:20:00+00:00,EKALAYAVA,34.55,33.7,31.35,34.0,unknown,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-01 04:20:00+00:00,2026-09-01 04:20:00+00:00,33.7,2026-09-01 04:25:00+00:00,33.7,TARGET,17.0,-11.149999999999999,-0.8499999999999943,5.0,9,50,True,True,False,1,0.05941743554529176,1.1999999999999957,0.0,0.0,0.0,unknown,True,False,5.0
2026-09-07,2026-09-07 04:20:00+00:00,EKALAYAVA,40.2,38.55,30.8,40.25,strong_green,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-07 04:20:00+00:00,2026-09-07 04:20:00+00:00,38.55,2026-09-07 04:25:00+00:00,38.55,TARGET,15.799999999999997,-1.4000000000000057,-1.6500000000000057,5.0,9,50,True,True,False,0,0.08972699610726365,2.0,0.14999999999999858,0.7999999999999972,3.0,strong_green,True,False,5.0
2026-09-08,2026-09-08 04:25:00+00:00,EKALAYAVA,69.1,66.95,55.5,69.4,strong_green,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-08 04:25:00+00:00,2026-09-08 04:25:00+00:00,66.95,2026-09-08 04:30:00+00:00,66.95,TARGET,9.200000000000003,-16.349999999999994,-2.1499999999999915,5.0,9,55,True,True,False,1,0.07615445360931337,3.0999999999999943,0.05000000000001137,0.8000000000000114,4.050000000000011,strong_green,True,False,5.0
2026-09-09,2026-09-09 04:30:00+00:00,EKALAYAVA,136.3,135.45,85.0,135.45,normal,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-09 04:30:00+00:00,2026-09-09 04:30:00+00:00,135.45,2026-09-09 04:35:00+00:00,135.45,TARGET,26.549999999999983,-44.900000000000006,-0.8500000000000227,5.0,10,0,False,False,True,2,0.26948007880365693,3.950000000000017,0.0,3.8999999999999773,7.799999999999983,normal,True,False,5.0
